,Data
0,2.259168384129572
1,2.7227331314139374
2,2.50326802483833
3,1.6354402568623991
4,1.9534253871548715
5,2.07317701287518
6,0.1071460672213671
7,0.5056932804885593
8,2.078720196837477
9,-0.41126200739700014
10,1.7579637361684088
11,3.8952650935349924
12,-3.0088498394482204
13,0.03344980688034338
14,2.990892097582131
15,5.35196023703628
16,0.5455332922462808
17,4.487358990252664
18,0.024638255179305624
19,1.4207444052938543
20,-0.4277940834743519
21,0.8150889249601285
22,1.3210894393323878
23,1.7294536364791182
24,2.4287296487138175
25,3.0384126640420788
26,2.206489447021791
27,3.7553258002398406
28,2.638700205781238
29,-0.26444133888895216
30,1.1333762519434756
31,0.22892365514469915
32,1.112239555302177
33,2.525256398171473
34,-1.6198095078647912
35,4.084929247653281
36,-0.2598242403802624
37,2.6974965763914276
38,0.9814541071231604
39,0.5761459737886443
40,3.523124573833055
41,-1.8481675756314146
42,2.826925585487192
43,1.1539386743995146
44,1.965100083744489
45,4.026708818235962
46,1.0882637143681615
47,3.748709594851417
48,0.25522736029344095
49,-0.20913245616765908
50,-0.1673707425965032
51,2.2318598142230233
52,3.819079609153663
53,0.18520239435523655
54,4.172593394709983
55,0.9719298137202652
56,0.8012011973951436
57,2.4939476297438423
58,-0.34444308999119366
59,0.19635047268346595
60,4.546915292186256
61,-4.066145303887508
62,7.704483771251669
63,-1.9018157997957559
64,1.2714837278982958
65,-0.035753313918051255
66,2.0077843780443536
67,0.6785984736222418
68,0.8704594710360076
69,1.1281967899826506
70,-0.8902385704117302
71,2.6418250417293248
72,1.9374802491101741
73,1.4068577516995915
74,2.1729663536214794
75,2.630664222947483
76,-0.39753942282645305
77,0.24058608518447155
78,0.8353885206261182
79,-3.4384518431741045
80,4.012970605398657
81,-0.18895565864716013
82,3.5217007299261356
83,5.526464879594508
84,0.4927209737725746
85,1.2804655828764437
86,1.6752287790405598
87,-1.7903667936553664
88,0.9309805555705573
89,2.0095137845469386
90,4.311494775743392
91,-1.0754204005433685
92,6.378937546707698
93,-1.4226369540522539
94,0.4604947620280204
95,-0.20607627732078626
96,5.208562246464608
97,0.14787003086706882
98,4.745247343458255
99,2.207294806816338
100,4.9860644450518
101,1.0154093485208553
102,-0.4043076439916855
103,-0.4462466770796705
104,0.41930755049143453
105,1.978520537574111
106,1.1920517123085541
107,0.9385077647250832
108,0.33061871645613883
109,1.0579833072375642
110,0.9068893961470357
111,1.4324368365429603
112,-0.14383577966850902
113,-0.9695670479844964
114,-0.40648129751757534
115,1.7235667402100545
116,1.5009988281139217
117,1.2196565382269018
118,0.2589367492107786
119,-0.2535441547227921
120,1.460882730722899
121,2.0956362651766813
122,4.363331144130127
123,-1.14088908940362
124,0.9610037536042834
125,1.0019862840246367
126,1.9502053584002375
127,2.6037280520327437
128,-0.19627558382753918
129,2.5193076468556423
130,-0.3231236556675383
131,-1.4513544237221443
132,0.8734140519402546
133,1.4971964665763553
134,3.4259534276670625
135,-0.18905477659020664
136,-2.7199671987089675
137,1.7882173803331887
138,2.235167533285197
139,-0.9392998704010425
140,3.0011804859069624
141,0.956959069272959
142,0.0712577796867655
143,1.998122248813866
144,-1.5906238390531788
145,-0.025477839375489086
146,2.3421938562394256
147,1.9602467976258824
148,0.06537793502963352
149,5.484961641068985
150,0.003992108394931249
151,0.8062881916105347
152,1.3598489801964506
153,4.660130562057956
154,2.074033808484083
155,1.6654614180730907
156,0.6835610823500533
157,0.20983254035608168
158,-0.77612427571604
159,-2.070697878753939
160,2.570244319714293
161,-1.1308822996226842
162,1.694463791769853
163,-1.0809208563394797
164,1.1404688143319643
165,3.9780635754968587
166,2.4331784444945823
167,2.229118745669481
168,3.0374281432846524
169,-2.371531636077468
170,-0.8731203227368023
171,-0.5085553345068283
172,1.4038887147598407
173,2.6034301650377416
174,-0.3761723640217305
175,2.975233576016364
176,1.981711935246285
177,5.139835325299707
178,2.2400959523667283
179,2.9804596909208714
180,2.4924041364024845
181,1.1040381591899278
182,1.0655136658676956
183,4.308076834051363
184,1.3597372539293269
185,7.591525108184662
186,-0.848765865363121
187,1.68153463352832
188,1.1890747094843306
189,2.992988917527259
190,0.8625190104691961
191,3.6578540957350145
192,-0.7844768268157447
193,1.7104996153915806
194,3.1687411408257953
195,2.30161410075696
196,2.411546768400724
197,0.48637306624636895
198,1.5772048515242392
199,0.2696632197902815
200,-1.0438874592699714
201,0.24226635611782066
