,Data
0,-48.803398867842084
1,-51.33414315028094
2,-49.31911102037327
3,-50.60757819478278
4,-46.93925200759608
5,-50.875946249944946
6,-49.51192747795675
7,-51.50395634931263
8,-46.80696225535605
9,-48.90463055135177
10,-48.88126206490712
11,-48.7806700034026
12,-45.25313985335762
13,-49.082804187015796
14,-47.76309115476895
15,-49.41149160534561
16,-47.213739762500076
17,-49.19072873538594
18,-51.0273118539679
19,-50.27741154453726
20,-46.395645013459756
21,-48.39660890417883
22,-46.035830398258355
23,-45.24735282090309
24,-45.26299156100795
25,-47.74326471310849
26,-48.78582399848759
27,-50.0883883329995
28,-47.32722733160632
29,-47.958605597921824
30,-47.19117153772993
31,-45.461813574866795
32,-45.882213276694415
33,-46.778926058768796
34,-46.13718504998392
35,-46.86163382773678
36,-47.570556307943185
37,-44.659243730137526
38,-45.9501043602207
39,-45.48045763910232
40,-46.26523767592016
41,-45.83380238958898
42,-46.94366083478075
43,-46.63408193671588
44,-47.215212113908834
45,-44.686653936475565
46,-45.536469757211854
47,-44.466073550066056
48,-43.53305417561131
49,-44.31575734103759
50,-46.49932173902572
51,-45.8815571564182
52,-45.59351385213219
53,-44.81997854247735
54,-45.551130945704045
55,-45.92681354315918
56,-43.44925982362639
57,-43.757364067897534
58,-44.88164152296054
59,-43.001112074351546
60,-42.4413974297292
61,-44.006231047468724
62,-45.84232348980097
63,-43.57261083782276
64,-44.59485907364742
65,-44.76426916435743
66,-42.48592791909806
67,-41.325807377553474
68,-41.69319988276513
69,-44.0964897616885
70,-40.94217340898445
71,-42.26166712726186
72,-43.486261467037814
73,-46.291565822711185
74,-42.577787269347745
75,-44.980081400139206
76,-40.96417321873268
77,-41.104880495244416
78,-38.79052853779902
79,-40.95939997395794
80,-41.44451959031131
81,-42.810760850859864
82,-41.28268014085021
83,-44.48015637163286
84,-42.48296467602373
85,-40.88926507670609
86,-39.13284771734334
87,-42.8064494319498
88,-39.85143326679429
89,-42.27841350704211
90,-40.11569791233627
91,-43.16323091954264
92,-39.565461015540606
93,-40.21066710835544
94,-39.513128684471624
95,-43.03415446912272
96,-38.88918847917148
97,-40.437922012838804
98,-40.40738604171743
99,-40.91092039384169
100,-39.24078326799216
101,-39.72626686071584
102,-39.36819946867954
103,-42.934771001792164
104,-39.56280042558241
105,-38.19746112401543
106,-38.46065853459805
107,-38.28537004692199
108,-38.454627619885635
109,-41.168275633856695
110,-39.01995620816503
111,-40.662948058788444
112,-39.42564435170579
113,-37.09416350230583
114,-36.495594392258184
115,-41.00314958112543
116,-38.66783110067465
117,-39.81738127772164
118,-37.51040888511277
119,-38.32579841585523
120,-35.84428911935147
121,-36.47896311440079
122,-35.67871267548798
123,-39.48166020861503
124,-37.00368416648724
125,-38.48824646760164
126,-38.51104464602234
127,-39.013387688875255
128,-35.18683869646363
129,-37.26626786033867
130,-37.07328451869274
131,-36.28115769815555
132,-35.12691767327399
133,-37.53504898097009
134,-37.75820038516548
135,-35.32510448579207
136,-37.06027012905831
137,-37.52052747469821
138,-33.168493471871045
139,-33.569887093196954
140,-37.4811667922215
141,-36.23339966443897
142,-36.48552495743499
143,-37.72621026031807
144,-38.060509152074005
145,-35.81549121286797
146,-30.591681984308433
147,-33.28675866575848
148,-34.974974868883365
149,-36.70125349105658
150,-36.292911807157395
151,-38.743885947838265
152,-36.30674911243817
153,-36.18178104960675
154,-29.486196282929193
155,-32.99492201459516
156,-32.98141039481361
157,-33.269082091414376
158,-32.91542554495615
159,-36.897346050538786
160,-36.0310176047576
161,-34.58240224565879
162,-31.716600814161442
163,-34.453487349063565
164,-33.37982810540322
165,-32.289048652564645
166,-32.212516486544686
167,-34.70395983214482
168,-32.62960076068424
169,-33.928602222029596
170,-33.53660689783019
171,-32.86109349521197
172,-31.987484922423754
173,-32.84824105974688
174,-32.620364129344814
175,-34.05859748715318
176,-33.7225842459966
177,-31.641783548993935
178,-33.10528076059856
179,-30.5890954254639
180,-29.42518491623821
181,-30.305728403997968
182,-31.657775379260816
183,-32.75667703242429
184,-33.40751224735097
185,-32.39769796055224
186,-32.50361527897712
187,-30.885561776634592
188,-30.60496881609497
189,-28.91121450442269
190,-30.471530717179103
191,-33.04215365831118
192,-30.528868880582834
193,-30.731793961445923
194,-31.590429243025987
195,-30.752134649763082
196,-29.44127412637935
197,-29.465107681827316
198,-31.221776947799835
199,-31.250846937820867
200,-27.544859860707827
201,-30.367884483958516
202,-30.533854040913905
203,-30.440090365974388
204,-29.03177625182231
205,-29.27626200865933
206,-30.082133019928737
207,-30.745103661270083
208,-25.475100672526423
209,-29.298250127381987
210,-30.265766346532534
211,-27.67268614497419
212,-26.30414070675754
213,-30.608703050700093
214,-29.403493582171777
215,-29.060556547448616
216,-27.623564931136617
217,-29.199154825950338
218,-28.11800728653373
219,-28.20215471806829
220,-27.750147057474397
221,-29.48228144694542
222,-27.473329673339705
223,-26.341372420894405
224,-24.65117951268149
225,-26.841955771199864
226,-27.959932748385192
227,-28.335615821290254
228,-26.06797033132473
229,-29.9057289548342
230,-28.743433833902323
231,-26.90397683343746
232,-24.487313577539148
233,-27.10023986494788
234,-24.722960417351175
235,-25.95561296637872
236,-23.413620920285446
237,-28.912847085211563
238,-25.74369736215511
239,-28.171807516303776
240,-25.713874179940127
241,-27.20915990625358
242,-24.09885975188909
243,-25.85120470618815
244,-22.026081301705936
245,-26.94910550753272
246,-25.461509209928973
247,-27.417101418037277
248,-25.596914570501195
249,-26.211863429593706
